model,scheme,slice,seed,recall@10,ndcg@10,auc,coverage,n_items_recommended,coverage_denominator,n_users,skipped_all_seen,excluded_no_train_positive,excluded_no_target_positive,subsample,config,selection_metric,selection_value_tune_subsample,n_trials,tuning_seconds
two_tower,user,val,42,0.197538,0.153760,0.990545,0.166598,8529,51195,151597,0,336,10608,,"{""batch"": 4096, ""device"": ""mps"", ""dim"": 256, ""epochs"": 6, ""hidden"": 256, ""hist_len"": 10, ""lr"": 0.009, ""n_uniform"": 0, ""pairs_per_user"": 100, ""strict_time"": true, ""tau"": 0.05}",ndcg@10,0.153347,19,9681.700000
two_tower,user,val,43,0.196075,0.152908,0.990654,0.166657,8532,51195,151597,0,336,10608,,"{""batch"": 4096, ""device"": ""mps"", ""dim"": 256, ""epochs"": 6, ""hidden"": 256, ""hist_len"": 10, ""lr"": 0.009, ""n_uniform"": 0, ""pairs_per_user"": 100, ""strict_time"": true, ""tau"": 0.05}",ndcg@10,0.153347,19,9681.700000
two_tower,user,val,44,0.196268,0.153118,0.990644,0.167341,8567,51195,151597,0,336,10608,,"{""batch"": 4096, ""device"": ""mps"", ""dim"": 256, ""epochs"": 6, ""hidden"": 256, ""hist_len"": 10, ""lr"": 0.009, ""n_uniform"": 0, ""pairs_per_user"": 100, ""strict_time"": true, ""tau"": 0.05}",ndcg@10,0.153347,19,9681.700000
