model,scheme,slice,seed,recall@10,ndcg@10,auc,coverage,n_items_recommended,coverage_denominator,n_users,skipped_all_seen,excluded_no_train_positive,excluded_no_target_positive,subsample,config,selection_metric,selection_value_tune_subsample,n_trials,tuning_seconds
two_stage,user,val,42,0.223627,0.178570,0.842317,0.117218,6001,51195,151597,0,336,10608,,"{""features"": ""headline"", ""learning_rate"": 0.02, ""min_data_in_leaf"": 6, ""num_leaves"": 63, ""rounds"": 123}",ndcg@10,0.179250,10,179.400000
two_stage,user,val,43,0.222777,0.178162,0.842064,0.118488,6066,51195,151597,0,336,10608,,"{""features"": ""headline"", ""learning_rate"": 0.02, ""min_data_in_leaf"": 6, ""num_leaves"": 63, ""rounds"": 123}",ndcg@10,0.179250,10,179.400000
two_stage,user,val,44,0.222868,0.178400,0.842245,0.115851,5931,51195,151597,0,336,10608,,"{""features"": ""headline"", ""learning_rate"": 0.02, ""min_data_in_leaf"": 6, ""num_leaves"": 63, ""rounds"": 123}",ndcg@10,0.179250,10,179.400000
two_stage_no_ease,user,val,42,0.205001,0.161004,0.842249,0.125774,6439,51195,151597,0,336,10608,,"{""features"": ""no_ease"", ""learning_rate"": 0.02, ""min_data_in_leaf"": 6, ""num_leaves"": 63, ""rounds"": 123}","n/a (ablation: best two_stage config, headline minus EASE features)",,,
two_stage_no_ease,user,val,43,0.203808,0.159910,0.841996,0.130950,6704,51195,151597,0,336,10608,,"{""features"": ""no_ease"", ""learning_rate"": 0.02, ""min_data_in_leaf"": 6, ""num_leaves"": 63, ""rounds"": 123}","n/a (ablation: best two_stage config, headline minus EASE features)",,,
two_stage_no_ease,user,val,44,0.204128,0.160477,0.842175,0.131380,6726,51195,151597,0,336,10608,,"{""features"": ""no_ease"", ""learning_rate"": 0.02, ""min_data_in_leaf"": 6, ""num_leaves"": 63, ""rounds"": 123}","n/a (ablation: best two_stage config, headline minus EASE features)",,,
two_stage_with_time,user,val,42,0.228393,0.183058,0.842335,0.114816,5878,51195,151597,0,336,10608,,"{""features"": ""with_time"", ""learning_rate"": 0.02, ""min_data_in_leaf"": 6, ""num_leaves"": 63, ""rounds"": 123}","n/a (ablation: best two_stage config, headline plus time features (cross-user future leak, not used))",,,
two_stage_with_time,user,val,43,0.227317,0.182309,0.842081,0.114894,5882,51195,151597,0,336,10608,,"{""features"": ""with_time"", ""learning_rate"": 0.02, ""min_data_in_leaf"": 6, ""num_leaves"": 63, ""rounds"": 123}","n/a (ablation: best two_stage config, headline plus time features (cross-user future leak, not used))",,,
two_stage_with_time,user,val,44,0.227777,0.182901,0.842260,0.114269,5850,51195,151597,0,336,10608,,"{""features"": ""with_time"", ""learning_rate"": 0.02, ""min_data_in_leaf"": 6, ""num_leaves"": 63, ""rounds"": 123}","n/a (ablation: best two_stage config, headline plus time features (cross-user future leak, not used))",,,
